cell_type,comparison,condition_a,condition_b,metric,gene_set,n_genes,similarity,n_cells_a,n_cells_b,low_cell_count_warning,expression_source
Cones,LD_vs_NMDA,LD,NMDA,spearman,hvg_2000,2000,0.8848294301091613,372,424,False,raw.X
Cones,LD_vs_NMDA,LD,NMDA,cosine,hvg_2000,2000,0.972849428653717,372,424,False,raw.X
HC,Control_vs_LD,Control,LD,pearson,shared_expressed,23958,0.8801784325533201,17989,692,False,raw.X
HC,Control_vs_LD,Control,LD,spearman,shared_expressed,23958,0.8960995201678426,17989,692,False,raw.X
HC,Control_vs_LD,Control,LD,cosine,shared_expressed,23958,0.8978171944618225,17989,692,False,raw.X
HC,Control_vs_NMDA,Control,NMDA,pearson,shared_expressed,23958,0.8851928241928289,17989,1070,False,raw.X
HC,Control_vs_NMDA,Control,NMDA,spearman,shared_expressed,23958,0.9016393939339359,17989,1070,False,raw.X
HC,Control_vs_NMDA,Control,NMDA,cosine,shared_expressed,23958,0.9015945196151733,17989,1070,False,raw.X
HC,LD_vs_NMDA,LD,NMDA,pearson,shared_expressed,23958,0.9788435388171207,692,1070,False,raw.X
HC,LD_vs_NMDA,LD,NMDA,spearman,shared_expressed,23958,0.9541448205197632,692,1070,False,raw.X
HC,LD_vs_NMDA,LD,NMDA,cosine,shared_expressed,23958,0.9818001985549927,692,1070,False,raw.X
HC,Control_vs_LD,Control,LD,pearson,hvg_500,500,0.38379508769764387,17989,692,False,raw.X
HC,Control_vs_LD,Control,LD,spearman,hvg_500,500,0.7073370640964823,17989,692,False,raw.X
HC,Control_vs_LD,Control,LD,cosine,hvg_500,500,0.4473661780357361,17989,692,False,raw.X
HC,Control_vs_NMDA,Control,NMDA,pearson,hvg_500,500,0.3868908513089611,17989,1070,False,raw.X
HC,Control_vs_NMDA,Control,NMDA,spearman,hvg_500,500,0.6359243304369196,17989,1070,False,raw.X
HC,Control_vs_NMDA,Control,NMDA,cosine,hvg_500,500,0.474740207195282,17989,1070,False,raw.X
HC,LD_vs_NMDA,LD,NMDA,pearson,hvg_500,500,0.9488858620742907,692,1070,False,raw.X
HC,LD_vs_NMDA,LD,NMDA,spearman,hvg_500,500,0.9024058571351907,692,1070,False,raw.X
HC,LD_vs_NMDA,LD,NMDA,cosine,hvg_500,500,0.9510546326637268,692,1070,False,raw.X
HC,Control_vs_LD,Control,LD,pearson,hvg_1000,1000,0.49098921865310374,17989,692,False,raw.X
HC,Control_vs_LD,Control,LD,spearman,hvg_1000,1000,0.7712776028904569,17989,692,False,raw.X
HC,Control_vs_LD,Control,LD,cosine,hvg_1000,1000,0.5489984750747681,17989,692,False,raw.X
HC,Control_vs_NMDA,Control,NMDA,pearson,hvg_1000,1000,0.4741753944113014,17989,1070,False,raw.X
HC,Control_vs_NMDA,Control,NMDA,spearman,hvg_1000,1000,0.7445990034626742,17989,1070,False,raw.X
HC,Control_vs_NMDA,Control,NMDA,cosine,hvg_1000,1000,0.5453817844390869,17989,1070,False,raw.X
HC,LD_vs_NMDA,LD,NMDA,pearson,hvg_1000,1000,0.9545440853169319,692,1070,False,raw.X
HC,LD_vs_NMDA,LD,NMDA,spearman,hvg_1000,1000,0.9235188845794776,692,1070,False,raw.X
HC,LD_vs_NMDA,LD,NMDA,cosine,hvg_1000,1000,0.9581032395362854,692,1070,False,raw.X
HC,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.5716304280556985,17989,692,False,raw.X
HC,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.8058595785465226,17989,692,False,raw.X
HC,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.6167835593223572,17989,692,False,raw.X
HC,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.5620778448377245,17989,1070,False,raw.X
HC,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.800101664457425,17989,1070,False,raw.X
HC,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.6147079467773438,17989,1070,False,raw.X
HC,LD_vs_NMDA,LD,NMDA,pearson,hvg_2000,2000,0.9604128684444491,692,1070,False,raw.X
HC,LD_vs_NMDA,LD,NMDA,spearman,hvg_2000,2000,0.9236055278207282,692,1070,False,raw.X
HC,LD_vs_NMDA,LD,NMDA,cosine,hvg_2000,2000,0.9635756611824036,692,1070,False,raw.X
MG,Control_vs_LD,Control,LD,pearson,shared_expressed,23924,0.8848631453718937,8707,4835,False,raw.X
MG,Control_vs_LD,Control,LD,spearman,shared_expressed,23924,0.9042803522331654,8707,4835,False,raw.X
MG,Control_vs_LD,Control,LD,cosine,shared_expressed,23924,0.9015917778015137,8707,4835,False,raw.X
MG,Control_vs_NMDA,Control,NMDA,pearson,shared_expressed,23924,0.8968137950876214,8707,4611,False,raw.X
MG,Control_vs_NMDA,Control,NMDA,spearman,shared_expressed,23924,0.9103117728902111,8707,4611,False,raw.X
MG,Control_vs_NMDA,Control,NMDA,cosine,shared_expressed,23924,0.9110029339790344,8707,4611,False,raw.X
MG,LD_vs_NMDA,LD,NMDA,pearson,shared_expressed,23924,0.9798489137652889,4835,4611,False,raw.X
MG,LD_vs_NMDA,LD,NMDA,spearman,shared_expressed,23924,0.9796583826364665,4835,4611,False,raw.X
MG,LD_vs_NMDA,LD,NMDA,cosine,shared_expressed,23924,0.9825456738471985,4835,4611,False,raw.X
MG,Control_vs_LD,Control,LD,pearson,hvg_500,500,0.40389660566606317,8707,4835,False,raw.X
MG,Control_vs_LD,Control,LD,spearman,hvg_500,500,0.6480222533027992,8707,4835,False,raw.X
MG,Control_vs_LD,Control,LD,cosine,hvg_500,500,0.48733973503112793,8707,4835,False,raw.X
MG,Control_vs_NMDA,Control,NMDA,pearson,hvg_500,500,0.40629124411670575,8707,4611,False,raw.X
MG,Control_vs_NMDA,Control,NMDA,spearman,hvg_500,500,0.6526272286026409,8707,4611,False,raw.X
MG,Control_vs_NMDA,Control,NMDA,cosine,hvg_500,500,0.49653589725494385,8707,4611,False,raw.X
MG,LD_vs_NMDA,LD,NMDA,pearson,hvg_500,500,0.8524286767088572,4835,4611,False,raw.X
MG,LD_vs_NMDA,LD,NMDA,spearman,hvg_500,500,0.9491658730913559,4835,4611,False,raw.X
MG,LD_vs_NMDA,LD,NMDA,cosine,hvg_500,500,0.8672484159469604,4835,4611,False,raw.X
MG,Control_vs_LD,Control,LD,pearson,hvg_1000,1000,0.4216199566967244,8707,4835,False,raw.X
MG,Control_vs_LD,Control,LD,spearman,hvg_1000,1000,0.7360575886911134,8707,4835,False,raw.X
MG,Control_vs_LD,Control,LD,cosine,hvg_1000,1000,0.49485552310943604,8707,4835,False,raw.X
MG,Control_vs_NMDA,Control,NMDA,pearson,hvg_1000,1000,0.43472523120063605,8707,4611,False,raw.X
MG,Control_vs_NMDA,Control,NMDA,spearman,hvg_1000,1000,0.7372128186157799,8707,4611,False,raw.X
MG,Control_vs_NMDA,Control,NMDA,cosine,hvg_1000,1000,0.51326584815979,8707,4611,False,raw.X
MG,LD_vs_NMDA,LD,NMDA,pearson,hvg_1000,1000,0.9013209382380633,4835,4611,False,raw.X
MG,LD_vs_NMDA,LD,NMDA,spearman,hvg_1000,1000,0.9527370919396059,4835,4611,False,raw.X
MG,LD_vs_NMDA,LD,NMDA,cosine,hvg_1000,1000,0.9102731347084045,4835,4611,False,raw.X
MG,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.5500276913269997,8707,4835,False,raw.X
MG,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.7927720607675197,8707,4835,False,raw.X
MG,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.5963353514671326,8707,4835,False,raw.X
MG,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.5652145716868384,8707,4611,False,raw.X
MG,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.7909047812889953,8707,4611,False,raw.X
MG,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.6163219809532166,8707,4611,False,raw.X
MG,LD_vs_NMDA,LD,NMDA,pearson,hvg_2000,2000,0.9438101435064159,4835,4611,False,raw.X
MG,LD_vs_NMDA,LD,NMDA,spearman,hvg_2000,2000,0.9584247978289465,4835,4611,False,raw.X
MG,LD_vs_NMDA,LD,NMDA,cosine,hvg_2000,2000,0.9481852650642395,4835,4611,False,raw.X
MGPC,Control_vs_LD,Control,LD,pearson,shared_expressed,23048,0.8687094527170963,1515,1743,False,raw.X
MGPC,Control_vs_LD,Control,LD,spearman,shared_expressed,23048,0.8677024473482685,1515,1743,False,raw.X
MGPC,Control_vs_LD,Control,LD,cosine,shared_expressed,23048,0.8877274990081787,1515,1743,False,raw.X
MGPC,Control_vs_NMDA,Control,NMDA,pearson,shared_expressed,23048,0.8904012562680664,1515,2273,False,raw.X
MGPC,Control_vs_NMDA,Control,NMDA,spearman,shared_expressed,23048,0.8926473861637678,1515,2273,False,raw.X
MGPC,Control_vs_NMDA,Control,NMDA,cosine,shared_expressed,23048,0.9049066305160522,1515,2273,False,raw.X
MGPC,LD_vs_NMDA,LD,NMDA,pearson,shared_expressed,23048,0.9879433290482809,1743,2273,False,raw.X
