cell_type,condition,metric,gene_set,n_cells,mean_fidelity,median_fidelity,std_fidelity
RGC,LD,cosine,hvg_1000,157,0.45077446355159306,0.4512149368906994,0.06475114869443215
RGC,LD,pearson,hvg_1000,157,0.36550189882207257,0.36301825869852855,0.07558955300035848
RGC,LD,spearman,hvg_1000,157,0.3383097517495639,0.3408697850404746,0.04263199081825986
RGC,NMDA,cosine,hvg_1000,456,0.43185190699272946,0.4550482058553046,0.09244250784412412
RGC,NMDA,pearson,hvg_1000,456,0.3485341911242184,0.3666900316409475,0.10365239027089358
RGC,NMDA,spearman,hvg_1000,456,0.32516712017329874,0.33501557688790684,0.06242840912770114
Rod,Control_heldout,cosine,hvg_1000,1916,0.5830273229931163,0.5840514648182775,0.0641972303206394
Rod,Control_heldout,pearson,hvg_1000,1916,0.5454080749677795,0.5515264636249124,0.07156816906507067
Rod,Control_heldout,spearman,hvg_1000,1916,0.3295059459931741,0.31434606410558924,0.0892501718295298
Rod,LD,cosine,hvg_1000,886,0.47307732766864374,0.475873463016554,0.05011023117811492
Rod,LD,pearson,hvg_1000,886,0.42437700827387803,0.4262320907648055,0.06172286675233439
Rod,LD,spearman,hvg_1000,886,0.2911685359456417,0.2569719705205734,0.09417029711733554
Rod,NMDA,cosine,hvg_1000,2120,0.4719254825443834,0.4686267834249119,0.04383487709090768
Rod,NMDA,pearson,hvg_1000,2120,0.39183288805441663,0.370825354846022,0.06699756999666573
Rod,NMDA,spearman,hvg_1000,2120,0.3566499025228506,0.3941422439738127,0.09451750065576515
